Variable_X,Variable_Y,Correlation
resp_death_rate,resp_death_rate,1.0
median_aqi,resp_death_rate,-0.08176258269430736
max_aqi,resp_death_rate,-0.06818474238388511
unhealthy_days,resp_death_rate,-0.09829630879829909
pm25_days,resp_death_rate,-0.12378898928239442
ozone_days,resp_death_rate,-0.044255105192657004
no2_days,resp_death_rate,-0.03147853109899894
co_days,resp_death_rate,-0.011997801473008116
pm10_days,resp_death_rate,0.03495187579742045
resp_death_rate,median_aqi,-0.08176258269430736
median_aqi,median_aqi,1.0
max_aqi,median_aqi,0.04239154340871813
unhealthy_days,median_aqi,0.43171215453334993
pm25_days,median_aqi,0.30145154805896207
ozone_days,median_aqi,0.08495037849968019
no2_days,median_aqi,-0.011415856275168395
co_days,median_aqi,-0.11737946894038909
pm10_days,median_aqi,-0.32793671440120936
resp_death_rate,max_aqi,-0.06818474238388511
median_aqi,max_aqi,0.04239154340871813
max_aqi,max_aqi,1.0
unhealthy_days,max_aqi,0.08778976690076529
pm25_days,max_aqi,-0.014310695349450156
ozone_days,max_aqi,0.010724383133949826
no2_days,max_aqi,0.00626718953393249
co_days,max_aqi,-0.002247250742586943
pm10_days,max_aqi,0.143612129226932
resp_death_rate,unhealthy_days,-0.09829630879829909
median_aqi,unhealthy_days,0.43171215453334993
max_aqi,unhealthy_days,0.08778976690076529
unhealthy_days,unhealthy_days,1.0
pm25_days,unhealthy_days,0.023948217074867245
ozone_days,unhealthy_days,0.077326021417965
no2_days,unhealthy_days,0.0855613270166053
co_days,unhealthy_days,-0.005443564624115464
pm10_days,unhealthy_days,-0.0345181212702912
resp_death_rate,pm25_days,-0.12378898928239442
median_aqi,pm25_days,0.30145154805896207
max_aqi,pm25_days,-0.014310695349450156
unhealthy_days,pm25_days,0.023948217074867245
pm25_days,pm25_days,1.0
ozone_days,pm25_days,-0.5587616887183351
no2_days,pm25_days,-0.05610350271492745
co_days,pm25_days,-0.03527215670783063
pm10_days,pm25_days,-0.1523152624388008
resp_death_rate,ozone_days,-0.044255105192657004
median_aqi,ozone_days,0.08495037849968019
max_aqi,ozone_days,0.010724383133949826
unhealthy_days,ozone_days,0.077326021417965
pm25_days,ozone_days,-0.5587616887183351
ozone_days,ozone_days,1.0
no2_days,ozone_days,-0.03434839481445441
co_days,ozone_days,-0.045824910510253454
pm10_days,ozone_days,-0.2454554419219136
resp_death_rate,no2_days,-0.03147853109899894
median_aqi,no2_days,-0.011415856275168395
max_aqi,no2_days,0.00626718953393249
unhealthy_days,no2_days,0.0855613270166053
pm25_days,no2_days,-0.05610350271492745
ozone_days,no2_days,-0.03434839481445441
no2_days,no2_days,1.0
co_days,no2_days,0.00826188021691968
pm10_days,no2_days,-0.023715866984678185
resp_death_rate,co_days,-0.011997801473008116
median_aqi,co_days,-0.11737946894038909
max_aqi,co_days,-0.002247250742586943
unhealthy_days,co_days,-0.005443564624115464
pm25_days,co_days,-0.03527215670783063
ozone_days,co_days,-0.045824910510253454
no2_days,co_days,0.00826188021691968
co_days,co_days,1.0
pm10_days,co_days,0.008526539646450709
resp_death_rate,pm10_days,0.03495187579742045
median_aqi,pm10_days,-0.32793671440120936
max_aqi,pm10_days,0.143612129226932
unhealthy_days,pm10_days,-0.0345181212702912
pm25_days,pm10_days,-0.1523152624388008
ozone_days,pm10_days,-0.2454554419219136
no2_days,pm10_days,-0.023715866984678185
co_days,pm10_days,0.008526539646450709
pm10_days,pm10_days,1.0
